DATE,DEXCHUS
3/9/10,6.8263
3/10/10,6.8259
3/11/10,6.8266
3/12/10,6.8254
3/15/10,6.8259
3/16/10,6.8257
3/17/10,6.8259
3/18/10,6.8261
3/19/10,6.8265
3/22/10,6.8266
3/23/10,6.8263
3/24/10,6.8266
3/25/10,6.827
3/26/10,6.8269
3/29/10,6.8264
3/30/10,6.8258
3/31/10,6.8258
4/1/10,6.8263
4/5/10,6.8256
4/6/10,6.825
4/7/10,6.8254
4/8/10,6.824
4/9/10,6.8229
4/12/10,6.8252
4/13/10,6.8255
4/14/10,6.8258
4/15/10,6.826
4/16/10,6.8253
4/19/10,6.8262
4/20/10,6.8253
4/21/10,6.8275
4/22/10,6.8263
4/23/10,6.827
4/26/10,6.8266
4/27/10,6.8256
4/28/10,6.8245
4/29/10,6.8259
4/30/10,6.8247
5/3/10,6.8245
5/4/10,6.826
5/5/10,6.8263
5/6/10,6.8265
5/7/10,6.8254
5/10/10,6.8263
5/11/10,6.8285
5/12/10,6.827
5/13/10,6.8278
5/14/10,6.8263
5/17/10,6.8274
5/18/10,6.8273
5/19/10,6.8269
5/20/10,6.8277
5/21/10,6.8262
5/24/10,6.8286
5/25/10,6.831
5/26/10,6.8292
5/27/10,6.8296
5/28/10,6.8305
6/1/10,6.8275
6/2/10,6.8296
6/3/10,6.8283
6/4/10,6.8268
6/7/10,6.8322
6/8/10,6.8294
6/9/10,6.8285
6/10/10,6.8305
6/11/10,6.832
6/14/10,6.8323
6/15/10,6.8323
6/16/10,6.8323
6/17/10,6.829
6/18/10,6.8267
6/21/10,6.7968
6/22/10,6.8127
6/23/10,6.8124
6/24/10,6.8001
6/25/10,6.7911
6/28/10,6.796
6/29/10,6.7977
6/30/10,6.7815
7/1/10,6.7807
7/2/10,6.7709
7/6/10,6.7801
7/7/10,6.777
7/8/10,6.7763
7/9/10,6.772
7/12/10,6.7709
7/13/10,6.772
7/14/10,6.7714
7/15/10,6.7774
7/16/10,6.775
7/19/10,6.778
7/20/10,6.7781
7/21/10,6.7769
7/22/10,6.7795
7/23/10,6.7803
7/26/10,6.7788
7/27/10,6.7781
7/28/10,6.778
7/29/10,6.776
7/30/10,6.7735
8/2/10,6.774
8/3/10,6.7728
8/4/10,6.772
8/5/10,6.7705
8/6/10,6.768
8/9/10,6.767
8/10/10,6.772
8/11/10,6.7745
8/12/10,6.7843
8/13/10,6.7957
8/16/10,6.8038
8/17/10,6.792
8/18/10,6.7911
8/19/10,6.7897
8/20/10,6.79
8/23/10,6.7995
8/24/10,6.7966
8/25/10,6.7995
8/26/10,6.7998
8/27/10,6.7977
8/30/10,6.8029
8/31/10,6.8069
9/1/10,6.8102
9/2/10,6.807
9/3/10,6.8014
9/7/10,6.7906
9/8/10,6.794
9/9/10,6.782
9/10/10,6.769
9/13/10,6.7595
9/14/10,6.743
9/15/10,6.738
9/16/10,6.725
9/17/10,6.723
9/20/10,6.7135
9/21/10,6.7059
9/22/10,6.7035
9/23/10,6.7046
9/24/10,6.7035
9/27/10,6.6911
9/28/10,6.6904
9/29/10,6.6869
9/30/10,6.6905
10/1/10,6.6895
10/4/10,6.6912
10/5/10,6.6906
10/6/10,6.6893
10/7/10,6.6903
10/8/10,6.671
10/11/10,.
10/12/10,6.6733
10/13/10,6.6634
10/14/10,6.6505
10/15/10,6.6397
10/18/10,6.644
10/19/10,6.6444
10/20/10,6.6518
10/21/10,6.6502
10/22/10,6.6583
10/25/10,6.6579
10/26/10,6.6625
10/27/10,6.6805
10/28/10,6.6867
10/29/10,6.6707
11/1/10,6.6892
11/2/10,6.6775
11/3/10,6.6758
11/4/10,6.6609
11/5/10,6.655
11/8/10,6.6791
11/9/10,6.6424
11/10/10,6.6335
11/11/10,.
11/12/10,6.6368
11/15/10,6.6418
11/16/10,6.6378
11/17/10,6.6415
11/18/10,6.633
11/19/10,6.6398
11/22/10,6.6414
11/23/10,6.6433
11/24/10,6.6529
11/26/10,6.6675
11/29/10,6.66
11/30/10,6.667
12/1/10,6.663
12/2/10,6.6609
12/3/10,6.6628
12/6/10,6.6483
12/7/10,6.6455
12/8/10,6.6616
12/9/10,6.6549
12/10/10,6.655
12/13/10,6.6652
12/14/10,6.6563
12/15/10,6.6541
12/16/10,6.6635
12/17/10,6.6545
12/20/10,6.6745
12/21/10,6.658
12/22/10,6.645
12/23/10,6.645
12/27/10,6.6306
12/28/10,6.6247
12/29/10,6.62
12/30/10,6.6
12/31/10,.
1/3/11,6.5895
1/4/11,6.6065
1/5/11,6.585
1/6/11,6.626
1/7/11,6.6276
1/10/11,6.6364
1/11/11,6.6185
1/12/11,6.6037
1/13/11,6.6044
1/14/11,6.5876
1/18/11,6.5828
1/19/11,6.5823
1/20/11,6.5852
1/21/11,6.5831
1/24/11,6.5809
1/25/11,6.5824
1/26/11,6.5814
1/27/11,6.5814
1/28/11,6.5819
1/31/11,6.6017
2/1/11,6.5937
2/2/11,6.556
2/3/11,6.556
2/4/11,6.556
